ID,Start time,Completion time,Aatish,BBQ District,Chef Bill Kim’s,Fresh Fare,Main Street Poké,Pizza & Parm Shop,Sol Toro,"Starbucks, Purdue Memorial",Sushi Boss,Walk On’s Sports Bistreaux,8 Eleven Modern Bistro,Leaps Coffee and Artisan Pastries,Boiler Up Bar,Au Bon Pain — at the Wilmeth Active Learning Center (WALC),Catalyst Café — at Wetherill chemistry building,The Bistro — at Rawls Hall,Continuum Café — at Lynn Hall,Così — at Honors College,Boiler Bistro — at Marriott Hall,Fuel — at the Recreation Sports Center,John Purdue Room — at Marriott Hall,LavAzza — at Marriott Hall,Port — at Lawson Computer Science Building,Undergrounds — at Hicks Undergraduate Library,Venture Café — at Burton D. Morgan Center,Earhart Dining Court,Ford Dining Court,Hillenbrand Dining Court,Wiley Dining Court,Windsor Dining Court,Cary Knight Spot Grill,Harrison Grill,Starbucks on Third — at Third Street Suites,
22,11/9/2022 15:03,11/9/2022 15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,
42,11/10/2022 10:54,11/10/2022 10:56,,,,,,,,3,4,,5,,,2,,,,2,,,,,1,,,3,3,2,3,2,2,,2,
39,11/9/2022 23:11,11/9/2022 23:12,4,2,1,2,3,2,2,1,4,2,2,1,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,4,4,2,
33,11/9/2022 18:39,11/9/2022 18:40,,2,,,,,,3,,,4,4,,2,,,,,,3,,,,,,3,3,4,4,2,1,,3,
30,11/9/2022 16:44,11/9/2022 16:46,4,3,2,2,3,2,,2,3,4,4,4,4,3,2,1,,2,3,,,4,4,,,3,4,2,4,3,,,2,
17,11/9/2022 14:08,11/9/2022 14:10,4,2,1,,,2,3,4,,2,2,,,4,,,,4,,,,,,,,4,2,3,3,4,,3,4,
18,11/9/2022 14:11,11/9/2022 14:14,,,,,,,,2,3,,,,,,,,,3,,,,,,,,4,,4,,,,3,2,
16,11/9/2022 14:00,11/9/2022 14:01,4,3,2,3,,1,3,,4,4,5,,,,,,,,,4,,,,,,3,2,2,3,2,4,,3,
6,11/9/2022 12:44,11/9/2022 12:46,2,1,2,,3,4,,5,3,,,,,5,,,,3,,4,,,,,,2,,2,,3,,2,5,
32,11/9/2022 17:20,11/9/2022 17:21,,3,,,,,,2,3,,,,,3,,,,2,,,,4,3,,,3,3,3,4,4,,,,
10,11/9/2022 13:00,11/9/2022 13:02,,,,,3,,,4,,,,,,3,,,,3,,,,,,2,,3,4,3,3,2,,,4,
14,11/9/2022 13:34,11/9/2022 13:36,2,,,,,,3,4,,,4,,4,3,,,,3,,,,,,,,3,3,2,3,3,,,4,
31,11/9/2022 17:08,11/9/2022 17:13,3,4,3,4,1,4,2,4,5,3,2,4,5,2,3,3,4,1,3,4,3,3,5,4,4,2,3,2,2,2,3,3,5,
40,11/10/2022 8:45,11/10/2022 8:46,4,3,2,3,4,2,4,3,4,3,5,3,3,3,2,2,2,5,2,5,3,3,3,3,3,3,3,3,3,3,3,4,4,
